central_baryon_density,central_pressurec2,M,R,Lambda
1.397110794656529844e+14,1.000000000000000000e+12,1.054899966693015473e-01,7.439404598441889505e+01,3.930660775480535030e+09
1.419745947622280000e+14,1.033748347782209595e+12,1.065263665700274809e-01,6.906873046573588226e+01,2.979972907196476936e+09
1.443144999602421875e+14,1.068635646542448242e+12,1.076279199583369955e-01,6.435222128732804947e+01,1.754196268763298273e+09
1.467333730926563438e+14,1.104700333994429199e+12,1.087893259332080725e-01,6.021416887719657751e+01,1.477056531839706421e+09
1.492338791967842500e+14,1.141982145061196289e+12,1.100314609197818871e-01,5.654318660735673774e+01,1.079077821476247072e+09
1.518187732505458125e+14,1.180522155653795410e+12,1.113236016250105098e-01,5.312911906461168599e+01,7.629200384283895493e+08
1.543693674967828438e+14,1.220362827927403564e+12,1.126336671368508568e-01,5.027055617588255387e+01,6.049037230099333525e+08
1.567692257774237188e+14,1.261548057064778564e+12,1.139164411656819337e-01,4.783074624286366117e+01,4.752984367881532907e+08
1.592500753099476562e+14,1.304123219638571533e+12,1.152606120205060258e-01,4.553310356042793217e+01,3.867520006542072296e+08
1.618146494152905625e+14,1.348135223605789062e+12,1.166559694524094554e-01,4.342215952623911335e+01,3.252821883719482422e+08
1.644657736594538125e+14,1.393632559989484131e+12,1.181168192826232421e-01,4.149052002121354121e+01,2.863201416897798181e+08
1.672063689666229375e+14,1.440665356304620361e+12,1.196310235991218385e-01,3.971429546433975588e+01,2.433969882830234766e+08
1.700394548373487188e+14,1.489285431786969727e+12,1.212256926126919765e-01,3.805058239106769236e+01,2.062376818164065778e+08
1.752487787969000938e+14,1.591503500283917725e+12,1.243148901956343394e-01,3.534663288540149750e+01,1.598066888091396391e+08
1.807574707533929062e+14,1.700737372000473877e+12,1.276539989321332225e-01,3.291842551638990244e+01,1.275014065940533578e+08
1.866442553439227500e+14,1.817468581126630859e+12,1.312501449184403923e-01,3.077116774146601941e+01,1.006636234855871201e+08
1.921606620673675938e+14,1.942211712262843262e+12,1.348729116620769886e-01,2.901200919917461718e+01,8.200658211639970541e+07
1.979535747627135938e+14,2.075516668856319092e+12,1.387507444159812031e-01,2.741158656146317441e+01,6.738280083504517376e+07
2.041440877662686250e+14,2.217971097332900879e+12,1.429567004438791200e-01,2.598048912262263954e+01,5.530120808903861791e+07
2.098402982636519375e+14,2.370202977610808105e+12,1.471242021759966989e-01,2.475940568608237768e+01,4.584310894495736063e+07
2.159126218807053125e+14,2.532883391415961914e+12,1.516719077906999724e-01,2.362619770046061518e+01,3.788539120847006887e+07
2.222257920826881562e+14,2.706729480602425781e+12,1.564896283244635866e-01,2.260852859267862058e+01,3.131517185449740291e+07
2.281744187804123750e+14,2.892507608519078125e+12,1.614174025255550593e-01,2.170724039442053765e+01,2.601082811593977362e+07
2.345313333175745938e+14,3.091036738358735840e+12,1.667679965353025262e-01,2.087384733899603972e+01,2.149187477454182133e+07
2.408673993755837188e+14,3.303192043382448242e+12,1.723430052371015819e-01,2.011567240414807500e+01,1.780053382769526914e+07
2.470993492883118438e+14,3.529908764933873535e+12,1.781890550849756782e-01,1.943947743112217097e+01,1.476093528319856711e+07
2.537590331125201875e+14,3.772186335250964844e+12,1.845210903249072387e-01,1.880297829351443895e+01,1.218774415141977742e+07
2.666061680079092188e+14,4.307769442700430176e+12,1.979035250175649185e-01,1.771410177590280099e+01,8.330987695822880603e+06
2.798359944825470312e+14,4.919395788604112305e+12,2.128784086967119293e-01,1.678805567919828690e+01,5.650504750018296763e+06
2.934247094595659375e+14,5.617862155075140625e+12,2.296814060495123988e-01,1.600621207971865800e+01,3.809441988241120242e+06
3.073565780926570625e+14,6.415498274510825195e+12,2.484366357804782544e-01,1.534208303386292727e+01,2.554926205436530989e+06
3.214769012391430625e+14,7.326384481162276367e+12,2.692329575536880348e-01,1.478007795361416754e+01,1.707377689182504080e+06
3.357921209552493125e+14,8.366600265340756836e+12,2.922705099546423213e-01,1.431026644457772434e+01,1.138301712578109931e+06
3.505341041351508125e+14,9.554508117883414062e+12,3.178303818338805153e-01,1.391261750706841838e+01,7.550141500579138519e+05
3.657162641447699375e+14,1.091107767546511523e+13,3.460934253765191593e-01,1.358318880016650887e+01,5.001874912462884677e+05
3.813605009116207500e+14,1.246025588875698438e+13,3.773103686045415905e-01,1.330733404784223595e+01,3.303065474110291689e+05
3.974972495334917500e+14,1.422938974785410547e+13,4.115406597640265951e-01,1.307736747770998420e+01,2.177195339245002833e+05
4.314125300763292500e+14,1.855687757146357812e+13,4.899478393559503209e-01,1.274203787282324818e+01,9.469724491412843054e+04
